hour,day_of_week,location,latitude,longitude,demand,supply
23,1,gurugram_cyber_city,28.4949,77.0887,75,109
21,3,mumbai_bandra,19.0596,72.8295,188,76
3,3,kolkata_salt_lake,22.5862,88.4143,63,81
4,5,guwahati_paltan_bazaar,26.1445,91.7362,56,66
12,1,bengaluru_indiranagar,12.9784,77.6408,110,110
21,0,nagpur_sitabuildi,21.1458,79.0882,136,67
1,6,suburb,12.9153,77.5135,44,74
13,2,mumbai_andheri,19.1197,72.8468,103,94
0,3,kolkata_salt_lake,22.5862,88.4143,59,77
8,5,kochi_mg_road,9.9312,76.2673,117,66
8,0,mumbai_andheri,19.1197,72.8468,146,88
10,1,pune_hinjewadi,18.5917,73.7389,170,78
8,6,mumbai_bandra,19.0596,72.8295,191,74
2,1,srinagar_lal_chowk,34.0837,74.7973,60,77
22,4,lucknow_hazratganj,26.8467,80.9462,70,97
3,4,guwahati_paltan_bazaar,26.1445,91.7362,52,76
8,5,bhubaneswar_janpath,20.2961,85.8245,118,61
21,4,chennai_t_nagar,13.0418,80.2337,184,79
13,3,kolkata_esplanade,22.5728,88.3639,98,92
21,5,coimbatore_race_course,11.0168,76.9558,150,61
13,4,pune_hinjewadi,18.5917,73.7389,79,86
21,2,surat_adajan,21.1702,72.8311,150,77
21,4,guwahati_paltan_bazaar,26.1445,91.7362,158,56
23,5,connaught_place,28.6315,77.2167,79,85
11,5,kolkata_esplanade,22.5728,88.3639,91,98
5,0,ahmedabad_cg_road,23.0225,72.5714,68,83
13,1,chennai_t_nagar,13.0418,80.2337,89,81
13,1,midtown,12.9802,77.6408,98,90
20,4,gurugram_sohna_road,28.4089,77.0383,183,84
21,3,indore_vijay_nagar,22.7196,75.8577,153,73
14,0,gurugram_sohna_road,28.4089,77.0383,98,78
12,3,vadodara_alkapuri,22.3072,73.1812,70,84
1,6,mumbai_andheri,19.1197,72.8468,69,101
23,4,pune_hinjewadi,18.5917,73.7389,58,91
15,4,mumbai_bandra,19.0596,72.8295,131,102
17,3,jaipur_sitapura,26.7997,75.8351,129,77
11,0,guwahati_paltan_bazaar,26.1445,91.7362,80,74
8,6,pune_hinjewadi,18.5917,73.7389,156,75
9,1,bengaluru_whitefield,12.9698,77.7500,164,77
11,6,mysuru_jayalakshmipuram,12.2958,76.6394,78,64
7,1,connaught_place,28.6315,77.2167,248,84
12,1,thiruvananthapuram_palayam,8.5241,76.9366,68,83
3,4,chandigarh_sector_17,30.7333,76.7794,64,76
15,0,gurugram_sohna_road,28.4089,77.0383,88,96
2,6,pune_hinjewadi,18.5917,73.7389,69,87
20,2,connaught_place,28.6315,77.2167,244,95
15,6,ahmedabad_cg_road,23.0225,72.5714,81,94
19,6,pune_hinjewadi,18.5917,73.7389,169,74
3,4,bhubaneswar_janpath,20.2961,85.8245,68,85
6,4,jaipur_sitapura,26.7997,75.8351,84,84
9,3,mysuru_jayalakshmipuram,12.2958,76.6394,120,66
0,0,noida_greater_noida,28.4744,77.5031,44,85
16,2,midtown,12.9802,77.6408,91,95
22,1,indore_vijay_nagar,22.7196,75.8577,59,77
13,3,bhopal_mp_nagar,23.2599,77.4126,80,82
10,5,suburb,12.9153,77.5135,111,76
20,0,indore_vijay_nagar,22.7196,75.8577,141,64
13,1,chennai_omr,12.8407,80.2244,97,89
20,5,hyderabad_hitech_city,17.4435,78.3772,174,68
13,6,mumbai_bandra,19.0596,72.8295,124,88
22,3,mumbai_andheri,19.1197,72.8468,69,99
18,0,visakhapatnam_beach_road,17.6868,83.2185,146,64
9,0,hyderabad_hitech_city,17.4435,78.3772,246,67
2,5,nagpur_sitabuildi,21.1458,79.0882,54,74
3,6,noida_greater_noida,28.4744,77.5031,43,96
4,0,downtown,12.9716,77.5946,87,93
14,5,surat_adajan,21.1702,72.8311,71,82
16,6,hyderabad_secunderabad,17.4399,78.4983,99,85
18,4,noida_sector_62,28.6176,77.3721,155,74
21,6,noida_sector_62,28.6176,77.3721,156,73
18,0,jaipur_sitapura,26.7997,75.8351,141,67
12,1,jaipur_mi_road,26.9128,75.7873,94,86
12,5,thiruvananthapuram_palayam,8.5241,76.9366,83,64
11,5,lucknow_hazratganj,26.8467,80.9462,96,88
3,5,india_gate,28.6129,77.2295,65,92
8,4,kolkata_esplanade,22.5728,88.3639,145,70
13,6,midtown,12.9802,77.6408,82,80
1,3,visakhapatnam_beach_road,17.6868,83.2185,58,78
8,2,lucknow_hazratganj,26.8467,80.9462,151,80
2,1,airport,13.1986,77.7066,109,98
13,0,ahmedabad_cg_road,23.0225,72.5714,87,90
18,3,lucknow_hazratganj,26.8467,80.9462,160,66
14,0,noida_sector_62,28.6176,77.3721,83,76
17,6,pune_hinjewadi,18.5917,73.7389,127,74
2,1,gurugram_cyber_city,28.4949,77.0887,80,83
5,1,bengaluru_indiranagar,12.9784,77.6408,92,96
0,3,midtown,12.9802,77.6408,71,97
9,4,kolkata_esplanade,22.5728,88.3639,191,87
9,2,airport,13.1986,77.7066,212,83
18,4,surat_adajan,21.1702,72.8311,154,76
2,4,nagpur_sitabuildi,21.1458,79.0882,66,90
5,4,pune_hinjewadi,18.5917,73.7389,63,76
8,2,bhopal_mp_nagar,23.2599,77.4126,153,76
6,6,jaipur_mi_road,26.9128,75.7873,87,73
1,5,surat_adajan,21.1702,72.8311,44,73
23,2,jaipur_mi_road,26.9128,75.7873,62,85
8,0,hyderabad_secunderabad,17.4399,78.4983,159,68
1,1,kolkata_esplanade,22.5728,88.3639,63,94
12,4,bengaluru_indiranagar,12.9784,77.6408,142,100
6,4,bhubaneswar_janpath,20.2961,85.8245,107,75
5,0,india_gate,28.6129,77.2295,65,84
3,6,chennai_omr,12.8407,80.2244,52,83
22,4,kolkata_salt_lake,22.5862,88.4143,63,76
17,3,pune_hinjewadi,18.5917,73.7389,167,68
23,2,gurugram_sohna_road,28.4089,77.0383,55,86
13,1,kochi_mg_road,9.9312,76.2673,74,72
14,4,visakhapatnam_beach_road,17.6868,83.2185,71,82
9,3,downtown,12.9716,77.5946,183,65
0,2,gurugram_sohna_road,28.4089,77.0383,61,96
1,2,jaipur_sitapura,26.7997,75.8351,46,88
4,4,airport,13.1986,77.7066,108,100
2,3,jaipur_sitapura,26.7997,75.8351,56,77
12,3,bengaluru_indiranagar,12.9784,77.6408,110,89
7,4,pune_hinjewadi,18.5917,73.7389,188,80
5,1,bengaluru_indiranagar,12.9784,77.6408,74,102
5,2,noida_sector_62,28.6176,77.3721,70,85
13,3,hyderabad_secunderabad,17.4399,78.4983,86,79
8,1,surat_adajan,21.1702,72.8311,137,77
18,0,pune_hinjewadi,18.5917,73.7389,144,79
15,0,jaipur_mi_road,26.9128,75.7873,96,94
11,2,bengaluru_whitefield,12.9698,77.7500,106,105
21,1,ahmedabad_cg_road,23.0225,72.5714,155,82
7,0,gurugram_sohna_road,28.4089,77.0383,156,79
16,2,connaught_place,28.6315,77.2167,123,84
12,4,midtown,12.9802,77.6408,91,96
22,2,chandigarh_sector_17,30.7333,76.7794,54,77
15,6,gurugram_sohna_road,28.4089,77.0383,90,83
0,6,bengaluru_indiranagar,12.9784,77.6408,78,88
17,2,bhopal_mp_nagar,23.2599,77.4126,140,73
9,5,surat_adajan,21.1702,72.8311,113,73
12,4,nagpur_sitabuildi,21.1458,79.0882,89,81
3,4,thiruvananthapuram_palayam,8.5241,76.9366,63,69
23,4,midtown,12.9802,77.6408,53,94
8,1,suburb,12.9153,77.5135,126,68
14,1,noida_greater_noida,28.4744,77.5031,64,106
20,2,bengaluru_indiranagar,12.9784,77.6408,209,84
15,4,indore_vijay_nagar,22.7196,75.8577,88,90
23,1,midtown,12.9802,77.6408,61,88
19,3,bengaluru_whitefield,12.9698,77.7500,140,94
14,4,chandigarh_sector_17,30.7333,76.7794,80,80
10,6,kochi_mg_road,9.9312,76.2673,130,70
5,0,coimbatore_race_course,11.0168,76.9558,66,86
15,5,coimbatore_race_course,11.0168,76.9558,71,76
1,2,hyderabad_secunderabad,17.4399,78.4983,67,85
21,6,chandigarh_sector_17,30.7333,76.7794,141,74
0,4,downtown,12.9716,77.5946,78,91
0,3,kolkata_salt_lake,22.5862,88.4143,57,71
1,2,chennai_omr,12.8407,80.2244,63,88
4,1,midtown,12.9802,77.6408,71,97
14,4,chennai_t_nagar,13.0418,80.2337,96,86
7,6,ahmedabad_cg_road,23.0225,72.5714,139,81
9,6,airport,13.1986,77.7066,219,74
3,3,suburb,12.9153,77.5135,48,74
16,6,suburb,12.9153,77.5135,69,82
16,3,airport,13.1986,77.7066,126,109
21,4,suburb,12.9153,77.5135,125,71
15,0,noida_sector_62,28.6176,77.3721,101,92
10,3,mumbai_bandra,19.0596,72.8295,221,81
16,4,suburb,12.9153,77.5135,86,78
6,5,mysuru_jayalakshmipuram,12.2958,76.6394,85,71
13,4,bhopal_mp_nagar,23.2599,77.4126,87,75
5,1,bhubaneswar_janpath,20.2961,85.8245,55,76
10,3,indore_vijay_nagar,22.7196,75.8577,146,72
6,6,kolkata_salt_lake,22.5862,88.4143,86,81
12,4,thiruvananthapuram_palayam,8.5241,76.9366,89,79
2,0,bengaluru_indiranagar,12.9784,77.6408,78,98
13,4,chennai_t_nagar,13.0418,80.2337,102,95
7,4,visakhapatnam_beach_road,17.6868,83.2185,151,73
3,6,india_gate,28.6129,77.2295,61,79
16,3,indore_vijay_nagar,22.7196,75.8577,85,78
10,0,ahmedabad_cg_road,23.0225,72.5714,157,68
14,4,kochi_mg_road,9.9312,76.2673,98,76
18,3,bengaluru_whitefield,12.9698,77.7500,166,84
19,4,kochi_mg_road,9.9312,76.2673,143,72
18,3,surat_adajan,21.1702,72.8311,157,77
5,2,ahmedabad_cg_road,23.0225,72.5714,60,94
16,3,srinagar_lal_chowk,34.0837,74.7973,89,73
9,5,surat_adajan,21.1702,72.8311,133,62
10,2,jaipur_sitapura,26.7997,75.8351,137,74
3,3,connaught_place,28.6315,77.2167,76,86
8,5,pune_hinjewadi,18.5917,73.7389,138,76
12,6,visakhapatnam_beach_road,17.6868,83.2185,68,79
1,3,hyderabad_secunderabad,17.4399,78.4983,60,97
14,2,guwahati_paltan_bazaar,26.1445,91.7362,78,83
22,4,bengaluru_indiranagar,12.9784,77.6408,85,91
19,5,airport,13.1986,77.7066,196,90
17,3,bhubaneswar_janpath,20.2961,85.8245,147,69
16,2,jaipur_sitapura,26.7997,75.8351,84,78
19,5,midtown,12.9802,77.6408,144,78
9,6,mumbai_andheri,19.1197,72.8468,172,69
4,4,jaipur_mi_road,26.9128,75.7873,60,85
20,0,connaught_place,28.6315,77.2167,200,91
2,5,jaipur_mi_road,26.9128,75.7873,58,86
21,6,jaipur_sitapura,26.7997,75.8351,111,68
20,6,indore_vijay_nagar,22.7196,75.8577,118,68
0,3,bengaluru_indiranagar,12.9784,77.6408,87,101
16,1,mumbai_bandra,19.0596,72.8295,143,86
14,2,chennai_t_nagar,13.0418,80.2337,96,88
9,1,guwahati_paltan_bazaar,26.1445,91.7362,142,63
1,3,vadodara_alkapuri,22.3072,73.1812,49,76
12,1,chennai_omr,12.8407,80.2244,89,88
9,3,noida_greater_noida,28.4744,77.5031,118,80
6,6,lucknow_hazratganj,26.8467,80.9462,80,87
22,3,bhubaneswar_janpath,20.2961,85.8245,51,91
16,2,bhopal_mp_nagar,23.2599,77.4126,109,78
7,2,chandigarh_sector_17,30.7333,76.7794,129,75
23,1,midtown,12.9802,77.6408,72,76
4,5,airport,13.1986,77.7066,85,85
0,4,guwahati_paltan_bazaar,26.1445,91.7362,60,82
3,4,surat_adajan,21.1702,72.8311,50,75
14,4,indore_vijay_nagar,22.7196,75.8577,92,76
21,6,downtown,12.9716,77.5946,214,72
18,5,nagpur_sitabuildi,21.1458,79.0882,114,58
8,5,chennai_omr,12.8407,80.2244,160,65
8,2,surat_adajan,21.1702,72.8311,137,73
22,1,india_gate,28.6129,77.2295,69,98
